data,mt,val_m1,val,l1,l2
German Credit,AR,0.84 $\pm$ 0.23,0.50 $\pm$ 0.00,1.10 $\pm$ 0.10,1.00 $\pm$ 0.00
,MACE,\textbf{0.98}$\pm$ 0.11,\textbf{1.00}$\pm$ 0.00,\textbf{1.00}$\pm$ 0.27,0.83 $\pm$ 0.18
,ROAR,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.12 $\pm$ 0.27,\textbf{0.48}$\pm$ 0.11
,DiRRAc-NM,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.69 $\pm$ 0.41,0.77 $\pm$ 0.19
,DiRRAc-GM,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,2.00 $\pm$ 0.64,0.86 $\pm$ 0.28
SBA,AR,0.41 $\pm$ 0.40,0.57 $\pm$ 0.24,0.56 $\pm$ 0.54,0.51 $\pm$ 0.49
,MACE,0.17 $\pm$ 0.24,0.79 $\pm$ 0.34,\textbf{0.00}$\pm$ 0.00,\textbf{0.00}$\pm$ 0.00
,ROAR,\textbf{1.00}$\pm$ 0.00,\textbf{1.00}$\pm$ 0.00,0.54 $\pm$ 0.09,0.26 $\pm$ 0.04
,DiRRAc-NM,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.61 $\pm$ 0.16,0.33 $\pm$ 0.11
,DiRRAc-GM,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.54 $\pm$ 0.16,0.33 $\pm$ 0.11
Student Performance,AR,0.52 $\pm$ 0.30,0.45 $\pm$ 0.33,\textbf{0.11}$\pm$ 0.06,\textbf{0.07}$\pm$ 0.03
,MACE,0.47 $\pm$ 0.31,0.36 $\pm$ 0.33,0.37 $\pm$ 0.32,0.25 $\pm$ 0.21
,ROAR,\textbf{1.00}$\pm$ 0.00,\textbf{0.83}$\pm$ 0.26,0.17 $\pm$ 0.03,0.12 $\pm$ 0.02
,DiRRAc-NM,0.54 $\pm$ 0.13,0.53 $\pm$ 0.11,0.28 $\pm$ 0.28,0.15 $\pm$ 0.15
,DiRRAc-GM,0.54 $\pm$ 0.13,0.53 $\pm$ 0.11,0.27 $\pm$ 0.27,0.15 $\pm$ 0.15
