data,mt,val_m1,val,l1,l2
German Credit,AR,1.00 $\pm$ 0.00,0.00 $\pm$ 0.00,2.05 $\pm$ 0.00,1.42 $\pm$ 0.00
,MACE,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,\textbf{0.00}$\pm$ 0.00,\textbf{0.00}$\pm$ 0.00
,ROAR,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.22 $\pm$ 0.00,0.15 $\pm$ 0.00
,DiRRAc-NM,\textbf{1.00}$\pm$ 0.00,\textbf{1.00}$\pm$ 0.00,3.74 $\pm$ 0.00,1.79 $\pm$ 0.00
,DiRRAc-GM,0.00 $\pm$ 0.00,1.00 $\pm$ 0.00,4.20 $\pm$ 0.00,1.90 $\pm$ 0.00
SBA,AR,\textbf{0.00}$\pm$ 0.00,\textbf{1.00}$\pm$ 0.00,0.01 $\pm$ 0.00,0.01 $\pm$ 0.00
,MACE,0.00 $\pm$ 0.00,1.00 $\pm$ 0.00,\textbf{0.00}$\pm$ 0.00,\textbf{0.00}$\pm$ 0.00
,ROAR,0.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.13 $\pm$ 0.00,0.07 $\pm$ 0.00
,DiRRAc-NM,0.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.78 $\pm$ 0.00,0.50 $\pm$ 0.00
,DiRRAc-GM,0.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.79 $\pm$ 0.00,0.50 $\pm$ 0.00
Student Performance,AR,\textbf{1.00}$\pm$ 0.00,\textbf{0.00}$\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
,MACE,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.58 $\pm$ 0.00,0.46 $\pm$ 0.00
,ROAR,1.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
,DiRRAc-NM,1.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.04 $\pm$ 0.00,0.01 $\pm$ 0.00
,DiRRAc-GM,1.00 $\pm$ 0.00,0.00 $\pm$ 0.00,\textbf{0.00}$\pm$ 0.00,\textbf{0.00}$\pm$ 0.00
