label,x0,x1
0.0,-2.7760211087212006,-2.2554091021599554
0.0,-3.334268944168775,-1.610828491056857
0.0,-5.2960945061435805,-1.8587952245768182
0.0,-2.944552245231019,-3.0827601313508257
0.0,-3.6516876601372212,-3.016021905948142
0.0,-3.5744646875737263,-2.9518574393572465
0.0,-2.50050266153652,-2.8446031835113192
0.0,-2.23745748519065,-2.439511235509892
0.0,-2.6675165484095906,-3.545422881776147
0.0,-2.407999900300961,-3.5657810981023546
0.0,-3.12031526155422,-2.570288628525421
0.0,-3.553928882935047,-2.6942883861137865
0.0,-2.7800072361786725,-2.0070121421495104
0.0,-2.2790717990526397,-2.661239447395741
0.0,-3.482821174006241,-3.5101839115024007
0.0,-1.6692675966197847,-3.1652076783608267
0.0,-1.5702933104386516,-1.6976303393866299
0.0,-0.7774505022645326,-4.590817891428178
0.0,-1.8352948044188264,-1.6359801689986373
0.0,-1.6101094748029863,-3.0405845684134953
0.0,-1.6575642690857135,-3.3375509050134142
0.0,-3.467902672635448,-4.449051185512797
0.0,-2.0508201024055808,-2.4108089029685673
0.0,-3.528641400000891,-3.016552287506164
0.0,-2.7503137213313193,-2.0038945778985293
0.0,-3.0516054161734547,-2.8061202505083234
0.0,-4.321978752107543,-2.4268662007240525
0.0,-0.9033234703262472,-2.840389227884879
0.0,-3.002924628468111,-3.6420063365378295
0.0,-1.8023746613077354,-4.036737825590327
0.0,-2.8533407406715323,-1.8187750752605505
0.0,-2.972442662148219,-2.0226218437182517
0.0,-2.6884345269778502,0.10523192103112144
0.0,-2.2895813112500916,-2.477141902168284
0.0,-2.7088765383638562,-3.1304097761439253
0.0,-3.8921855306580575,-1.4891768377173205
0.0,-4.191452725320415,-2.9575020480275636
0.0,-3.8293396582556336,-1.3066116823912919
0.0,-2.8751793879842187,-2.2588416293001456
0.0,-4.935855627644195,-2.8095964670860902
0.0,-1.6663380551136802,-2.343398978702055
0.0,-3.3574678394561968,-3.011072497464351
0.0,-4.68637690454538,-2.637568028893579
0.0,-3.703887210239734,-2.9453808718256647
0.0,-2.3219492816227603,-3.6291014285937706
0.0,-4.662864463576595,-1.7607100809237672
0.0,-3.4275292283696728,-2.1295358629806023
0.0,-2.458265325419923,-3.2013791150287325
0.0,-3.5517184754435926,-1.5566613968403629
0.0,-3.676715177907405,-1.2200762691933895
0.0,-3.9750660518697614,-3.5748969643970594
0.0,-3.445058181440484,-1.2534292840812233
0.0,-3.8033278412105633,-1.8454576121949207
0.0,-4.514932931744454,-2.634939445101236
